name,category,rating,review_count,address,phone,hours_status,website,review_snippet,search_query
Hôpital Privé d'Agadir,(283),3.0,283,"Avenue Ouarzazat
Ouvert 24h/24",05282-32366,Ouvert 24h/24,,"service excellent, je recommande vivement",elfara7 agadir hospitals
AKDITAL AGADIR - Hôpital International d’Agadir,(575),3.1,575,"
Ouvert 24h/24",05282-07171,Ouvert 24h/24,,"propreté, équipement, professionnalisme du personnel, rien a dire.",elfara7 agadir hospitals
Clinique Argana,(122),4.0,122,"Rue de la Foire
Ouvert 24h/24",+212 5288-25656,Ouvert 24h/24,,Excellente clinique avec un personnel a l'écoute.,elfara7 agadir hospitals
CLINIQUE AL HOUDA,(164),2.8,164,"n° 171, CF27+379 Îlot A3
Ouvert 24h/24",05283-23030,Ouvert 24h/24,,La prise en charge était rapide et efficace.,elfara7 agadir hospitals
Clinique Cheikh Saadi,(146),3.0,146,"132 Avenue Mohammed Cheikh Saâdi
Ouvert 24h/24",05282-53535,Ouvert 24h/24,,Une équipe au top et rassurante avec un suivi assuré pendant notre séjour.,elfara7 agadir hospitals
Hôpital Hassan II Agadir,(177),2.1,177,"
Ouvert 24h/24",+212 5288-41477,Ouvert 24h/24,,Après un avp ils ont fait plus que le nécessaire,elfara7 agadir hospitals
CENTRE INTERNATIONAL D’ONCOLOGIE D’AGADIR,(14),4.4,14,"Zone grande stade Route N 1
Ouvert 24h/24",05282-07272,Ouvert 24h/24,,,elfara7 agadir hospitals
Clinique Internationale,(163),4.3,163,"Illigh, Rue Elfid Quartier
Ouvert 24h/24",+212 5288-40808,Ouvert 24h/24,,Agreablement surprise par le service d’urgence !!!,elfara7 agadir hospitals
Dr AMGHAR FATIHA Endocrinologue Diabétologue Nutritionniste - Agadir -عيادة أمراض الغدد،السكري ،التغذية-,(83),4.7,83,"Imm Fleurida N 52,5 ème étage,Place des Taxis, Av. Hassan II
Ferme bientôt ⋅ 12:30 ⋅ Rouvre à 14:30",05282-22244,,,"Excellent médecin , bon suivi et bon acompaniement a ses patients",elfara7 agadir hospitals
Dr Anoir et Dr Farah,(6),5.0,6,+212 5288-42957,+212 5288-42957,Ouvert actuellement,,,elfara7 agadir doctors
Doctori,(32),3.7,32,"3ème étage, Immeuble Marhaba, Ave du 29 Fevrier
Ouvert 24h/24",+212 5288-28778,Ouvert 24h/24,,,elfara7 agadir doctors
Docteur Aboufalou Zahra,(181),5.0,181,"Appartement 1, 14 Rue Al Farabi
Ouvert ⋅ Ferme à 15:00",0637-980045,Ouvert,,,elfara7 agadir doctors
Cabinet Médecine Générale Dr Nabih Rokia عيادة طبية الدكتورة نبيه رقية,(19),4.3,19,"numéro 2, Immeuble Sarour, Avenue Mohammed Cheikh Saâdi
Ouvert ⋅ Ferme à 18:30",0661-143545,Ouvert,,"Très compétente et à l'écoute
Je recommende vivement",elfara7 agadir doctors
cabinet Dr.Bouchra hafidy médecin généraliste,(62),4.7,62,"71 Ave Ghandi
Ouvert ⋅ Ferme à 15:30",05282-12424,Ouvert,,"Médecine très très compétente, je recommande vivement",elfara7 agadir doctors
